ID,commits_per_user,comments_per_user,issues_per_user,issues_assigned_per_user
0,9,3,4,4
1,88,13,18,2
2,4,6,7,2
3,30,3,5,3
4,39,41,23,13
5,30,22,31,19
6,34,13,7,24
7,41,23,25,22
8,6,37,15,3
9,60,81,26,5
10,53,109,40,7
11,57,40,6,4
None,,,,99
